gene	01_SW_sgCTRL_Norm	02_SW_sgCTRL_Norm	17_SW_sgRELB_3_Hyp	18_SW_sgRELB_3_Hyp
ZDHHC23	1286	1016	1149	1141
CCDC191	45	30	165	160
LOC105374048	0	0	0	0
QTRT2	1183	965	1141	1071
DRD3	0	0	0	0
LOC107986115	0	0	0	0
ZNF80	0	0	0	1
TIGIT	0	0	0	0
ZBTB20	9	7	18	17
MIR568	0	0	0	0
ZBTB20-AS1	0	0	0	0
ZBTB20-AS5	0	0	0	0
MIR4796	0	0	0	0
ZBTB20-AS3	0	0	0	0
ZBTB20-AS4	1	0	1	2
LOC101926886	1	1	1	1
LOC105374051	0	0	0	0
GAP43	20	10	17	20
LSAMP	1	1	1	5
LOC105374053	0	0	0	0
SNORD155	0	0	0	0
LOC107986116	0	0	0	0
LOC105374052	0	0	0	0
LSAMP-AS1	0	0	0	1
LINC00903	0	0	0	0
TUSC7	0	0	0	0
MIR4447	0	0	0	0
LINC00901	0	0	0	0
LOC105374054	0	0	0	0
LOC105374056	0	0	0	0
LINC02024	0	0	0	0
LOC107986022	0	0	0	1
LOC101926953	0	0	0	0
LOC105374058	0	0	0	0
LOC105374060	0	0	0	0
LOC101926968	0	0	0	0
LOC107983969	0	0	0	0
LOC105374059	0	0	0	0
IGSF11	0	0	1	0
IGSF11-AS1	0	0	0	0
TEX55	0	0	0	0
UPK1B	0	0	0	0
B4GALT4	561	381	907	963
B4GALT4-AS1	0	0	1	0
ARHGAP31	664	463	1097	1101
ARHGAP31-AS1	3	4	6	5
TMEM39A	792	644	1013	1022
POGLUT1	521	386	482	516
TIMMDC1	996	785	1341	1312
CD80	0	0	0	0
LOC107986118	0	0	0	0
ADPRH	177	174	403	398
PLA1A	0	0	0	3
LOC105374062	0	1	1	0
POPDC2	4	1	9	15
COX17	459	385	687	609
LOC105374063	2	0	7	12
LOC105374064	0	0	0	0
CFAP91	0	0	0	0
NR1I2	0	0	0	0
GSK3B	2052	1615	3690	3620
MIR6529	0	0	0	0
GSK3B-DT	32	39	105	104
LOC105374065	0	0	0	0
GPR156	10	5	13	8
LRRC58	3139	2681	4759	4547
LRRC58-DT	1	5	8	3
FSTL1	3	3	24	12
MIR198	0	0	0	0
LOC107986121	15	13	5	13
NDUFB4	1300	910	1804	1724
HGD	0	0	1	0
RABL3	785	669	997	910
GTF2E1	690	555	813	792
LINC02049	0	0	0	0
LOC105374069	0	0	0	0
STXBP5L	46	34	127	98
MIR5682	0	0	0	0
POLQ	1276	1130	1124	1114
ARGFX	0	0	0	0
FBXO40	0	0	0	0
HCLS1	0	1	4	4
GOLGB1	1689	1465	4151	4074
IQCB1	646	569	807	772
EAF2	77	55	73	72
SLC15A2	35	41	91	72
ILDR1	137	105	97	95
LOC101927010	7	6	12	4
CD86	0	0	0	1
CASR	0	0	0	0
CSTA	2	2	0	0
MIX23	434	407	447	375
FAM162A	802	704	2826	2746
WDR5B	148	135	276	262
WDR5B-DT	2	4	6	9
KPNA1	2207	1753	3611	3535
LOC107984000	0	0	1	0
LOC105374071	1	0	1	0
PARP9	301	222	578	503
DTX3L	769	545	1045	998
PARP15	0	0	3	2
PARP14	696	628	1499	1431
HSPBAP1	323	249	208	217
SLC49A4	536	447	708	732
LINC02035	1	2	3	2
SEMA5B	3	0	1	5
LOC112268448	0	0	0	0
PDIA5	685	516	828	799
MIR7110	4	4	1	2
SEC22A	241	208	383	399
ADCY5	2	3	12	10
HACD2	2482	1960	2716	2538
MYLK-AS1	15	17	33	19
MYLK	103	78	455	425
MYLK-AS2	0	0	1	0
LOC105369194	0	1	10	16
CCDC14	1430	1152	2276	2092
ROPN1	0	0	1	1
KALRN	514	336	810	854
MIR5002	0	0	0	0
LOC105374077	0	0	0	0
MIR6083	0	0	0	0
LOC107986123	0	0	0	0
LOC105374076	0	0	0	0
UMPS	2185	1743	2434	2309
MIR544B	0	0	0	1
ITGB5	10463	7774	20022	21119
MUC13	39	28	72	64
HEG1	2113	1816	10163	10500
SLC12A8	335	255	235	295
MIR5092	0	0	0	0
ZNF148	1706	1329	2611	2386
LOC105374080	2	3	2	2
LOC105374081	0	0	0	0
SNX4	870	729	1482	1440
OSBPL11	858	742	1379	1221
LOC105374312	0	0	0	0
MIR548I1	0	0	0	0
LINC02614	2	0	1	0
LOC102723696	6	8	20	16
FAM86JP	98	79	64	68
ALG1L	40	32	85	74
ROPN1B	1	4	1	3
SLC41A3	1152	873	2315	2312
LOC105374085	22	15	45	30
SLC41A3-AS1	0	1	1	4
ALDH1L1	99	70	205	212
ALDH1L1-AS1	0	0	1	1
LOC105374083	0	0	0	0
ALDH1L1-AS2	2	1	11	8
LOC107986124	7	9	17	17
KLF15	66	59	102	87
LOC105374088	0	0	0	0
LOC107986044	0	0	0	0
CFAP100-DT	0	0	0	0
CFAP100	22	10	13	16
ZXDC	1507	1262	1722	1806
UROC1	571	419	614	679
CHST13	605	422	975	1117
C3orf22	11	10	20	31
LOC105374090	3	0	3	5
TXNRD3	345	265	1083	1015
NUP210P1	0	0	0	0
CHCHD6	427	303	778	755
PLXNA1	5007	3938	8631	9570
C3orf56	2	0	2	0
PRR20G	1	2	6	5
LINC02016	0	0	0	0
LOC105374094	1	1	3	3
LINC01471	0	0	0	0
LINC02034	0	0	1	2
TPRA1	811	589	1205	1236
MIR6825	0	0	1	0
MIR7976	0	0	0	0
MCM2	5446	4120	5058	5218
LOC107986126	4	6	8	9
PODXL2	980	697	807	860
ABTB1	386	286	1023	1098
MGLL	331	251	886	980
LOC107986127	6	8	18	10
LOC107986129	0	0	0	1
LOC105374096	0	0	0	0
KBTBD12	0	0	3	1
LOC102723759	2	0	5	4
SEC61A1	10447	8156	12628	13092
RUVBL1	3371	2525	2778	2815
RUVBL1-AS1	0	0	0	0
EEFSEC	3	4	6	4
DNAJB8	0	0	0	0
DNAJB8-AS1	0	0	0	0
GATA2	1545	1153	1161	1218
GATA2-AS1	453	383	472	419
LOC90246	87	44	122	144
LINC01565	0	0	0	0
RPN1	6576	4906	7170	7184
RAB7A	7061	5266	8319	8898
MIR12124	0	0	0	0
LOC653712	8	3	13	13
ACAD9	862	698	1091	1078
CFAP92	49	47	88	84
EFCC1	1	0	1	1
GP9	0	0	0	0
RAB43	193	131	194	189
ISY1-RAB43	0	0	0	0
ISY1	448	340	511	551
CNBP	10768	8584	7936	7679
LOC105374101	6	6	28	29
LOC105374102	0	0	0	2
COPG1	3518	2786	5443	5783
MIR6826	0	0	0	0
HMCES	2146	1665	2401	2366
H1-10	1676	1362	1776	1807
H1-10-AS1	16	18	67	74
RPL32P3	98	77	210	227
SNORA7B	1	0	2	3
EFCAB12	2	4	5	14
MBD4	1208	1013	1696	1660
IFT122	432	320	794	869
RHO	0	0	0	0
H1-8	0	0	2	0
PLXND1	997	747	2341	2563
TMCC1	457	389	852	874
TMCC1-DT	24	26	39	40
TRH	0	0	0	0
ALG1L2	7	8	6	14
LINC02014	20	18	26	18
FAM86HP	45	22	55	51
LINC02021	3	4	10	26
LOC105374103	0	0	0	0
LOC107986131	0	0	0	1
LOC107986133	0	0	0	0
COL6A4P2	0	0	2	0
LOC105374106	0	0	0	0
COL6A5	0	0	0	0
COL6A6	2	1	1	1
PIK3R4	1129	920	1412	1401
LOC107986023	1	1	4	7
LOC105374107	0	0	1	0
LOC105374108	0	0	0	0
ATP2C1	2164	1619	3253	3316
ASTE1	154	110	226	238
NEK11	45	28	67	62
LOC107986024	0	0	0	0
NUDT16-DT	1	1	8	2
NUDT16L2P	340	250	332	325
NUDT16	754	642	1241	1173
LOC107986025	0	0	1	0
LOC105374110	0	1	0	0
MRPL3	3306	2638	2436	2260
SNORA58	1	0	1	0
LOC105374114	4	6	2	1
CPNE4	0	0	0	0
LOC105374113	0	0	0	0
MIR5704	0	0	0	0
LOC105374111	0	0	0	0
TRC-GCA6-1	0	0	0	0
TRC-GCA9-1	0	0	0	0
ACP3	5	4	6	7
DNAJC13	2440	2052	3241	3114
NPHP3-ACAD11	0	1	0	0
ACAD11	0	0	0	0
ACKR4	4	1	5	2
UBA5	1201	1011	1538	1545
NPHP3	75	71	172	162
NPHP3-AS1	3	2	2	2
LOC105374115	0	0	1	1
TMEM108	0	0	0	0
TMEM108-AS1	0	0	0	0
LOC101927432	0	0	0	0
BFSP2	0	0	1	2
BFSP2-AS1	0	0	0	0
CDV3	5984	4683	6746	6671
TOPBP1	3994	3287	4269	4155
TF	2	3	12	13
SRPRB	1975	1502	2154	2209
LOC105374116	0	0	2	1
RAB6B	132	110	483	524
C3orf36	0	0	0	0
SLCO2A1	7	7	67	84
LINC02000	0	0	0	0
LOC105374117	20	6	14	21
RYK	1863	1435	2654	2483
LINC02004	0	1	1	5
LOC105374118	10	6	190	167
AMOTL2	5262	3955	16374	17187
MIR6827	0	0	2	1
MIR4788	0	0	0	0
ANAPC13	945	781	1243	1234
CEP63	555	512	1103	1102
KY	0	1	0	1
EPHB1	1	0	28	21
LOC105374121	0	1	2	0
LOC105374120	0	0	0	0
LOC102724019	0	0	2	0
LOC105374122	1	4	25	33
LOC105374123	0	0	0	1
LOC105374124	0	1	6	6
PPP2R3A	359	283	1850	1772
LOC107986135	2	2	0	1
MSL2	1199	987	1400	1378
PCCB	1282	1003	1921	1971
STAG1	3276	2680	3036	2805
SLC35G2	618	553	903	877
NCK1-DT	57	53	125	138
NCK1	487	409	754	728
IL20RB-AS1	1	0	2	0
IL20RB	12	11	17	7
LOC105374126	0	0	0	0
SOX14	6	6	45	44
LINC01210	0	0	1	2
CLDN18	4	5	0	7
LOC105374127	4	5	2	3
LOC105374128	6	2	7	14
DZIP1L	213	183	383	371
A4GNT	2	1	5	6
DBR1	915	701	898	845
ARMC8	1059	955	1471	1417
NME9	7	5	19	20
MRAS	87	76	312	304
LOC105374129	0	0	0	0
ESYT3	103	110	103	110
CEP70	607	494	848	733
FAIM	859	726	738	736
PIK3CB	1927	1689	2587	2497
LINC01391	14	10	22	17
FOXL2	386	242	384	417
FOXL2NB	266	192	538	542
PRR23A	0	2	1	2
PRR23B	0	0	0	0
PRR23C	0	0	0	0
BPESC1	0	0	0	0
PISRT1	0	0	0	0
MRPS22	2186	1780	1656	1671
COPB2	7968	6180	10956	10563
COPB2-DT	19	17	51	52
RBP2	0	0	8	9
RBP1	12405	9574	8865	9778
NMNAT3	215	171	163	167
CLSTN2	955	798	3374	3606
LOC105374132	0	0	0	0
CLSTN2-AS1	0	0	1	1
LOC102724068	1	5	14	14
TRIM42	0	0	0	0
SLC25A36	2835	2422	4863	4591
SPSB4	2	2	22	14
PXYLP1	124	95	123	138
ZBTB38	4348	3563	9849	9829
RASA2	945	721	1111	1041
LINC02618	0	1	2	1
RNF7	1149	858	1561	1463
GRK7	0	4	9	6
LOC105374134	0	0	0	0
ATP1B3	8035	6264	6686	6874
TFDP2	1276	1028	2464	2433
GK5	566	497	807	772
XRN1	813	712	2045	1905
ATR	1940	1557	2045	2020
PLS1	1661	1377	1551	1399
LOC105374136	0	1	1	0
TRPC1	339	292	887	803
PCOLCE2	390	315	188	214
LOC100507389	0	0	0	0
PAQR9	0	0	0	0
PAQR9-AS1	0	0	0	0
LOC100289361	8	12	35	27
U2SURP	5886	4994	5310	5148
LOC105374138	0	0	0	0
CHST2	220	160	265	274
LOC105374137	0	0	0	0
SLC9A9	1	2	11	10
SLC9A9-AS1	0	0	0	0
LOC102724120	0	0	0	0
DIPK2A	400	342	1008	1043
LOC105374140	1	1	1	4
LOC105374139	0	0	0	0
LOC105374141	0	0	0	0
LOC105374142	0	0	0	0
LOC105374143	0	0	0	0
LOC105374144	0	0	0	0
LOC107986138	0	0	0	0
LNCSRLR	0	0	0	0
PLOD2	30	23	44	34
LOC105374145	0	0	0	0
PLSCR4	2	0	16	10
PLSCR2	0	0	0	0
PLSCR1	559	459	540	507
PLSCR5	0	0	0	0
LINC02010	0	0	0	0
LOC112268449	0	0	0	0
ZIC4	0	0	0	0
ZIC1	0	0	0	0
LOC440982	0	0	0	0
LOC102724145	0	0	0	0
LINC02032	0	0	0	0
LINC02045	0	0	0	0
LINC02046	0	0	0	0
LOC105374148	0	0	0	0
LOC105374147	0	0	0	0
LOC105374150	1	1	0	0
AGTR1	0	0	0	0
CPB1	0	0	0	0
CPA3	0	0	0	0
LOC107986045	0	0	0	0
GYG1	1468	1272	1584	1506
HLTF	2	2	1	0
HLTF-AS1	0	0	0	0
HPS3	1056	827	1408	1315
CP	1	0	2	1
LOC101927942	0	0	0	0
LOC107986140	0	2	0	1
TM4SF18	0	0	0	0
TM4SF1	404	312	1847	1771
TM4SF1-AS1	0	0	5	5
LOC105374151	2	0	0	1
TM4SF4	0	0	0	0
WWTR1	2350	1867	2881	2953
WWTR1-AS1	4	3	14	10
COMMD2	621	533	1076	1044
ANKUB1	1	0	1	0
RNF13	1425	1109	2111	1974
LOC105374152	2	5	8	3
PFN2	3957	3227	7594	7419
LOC646903	36	32	91	70
LOC105374153	0	0	0	0
LINC01998	0	0	0	0
LOC105374313	0	0	0	0
LINC01213	0	0	0	0
LINC01214	0	0	0	0
LOC105374154	0	0	1	0
LOC107986141	0	0	0	0
LOC107986142	0	0	1	0
TSC22D2	654	512	1178	1284
SERP1	3988	3082	3309	3494
EIF2A	4638	3850	3740	3629
SELENOT	2372	1884	3172	3018
ERICH6	1	2	2	14
ERICH6-AS1	10	11	54	45
LOC101928105	7	1	6	15
SIAH2	580	440	768	763
LOC105374155	3	3	1	2
MINDY4B	0	1	2	2
CLRN1	0	0	0	0
CLRN1-AS1	0	1	0	0
MED12L	206	156	273	294
GPR171	0	0	0	0
P2RY14	1	1	2	3
GPR87	0	0	0	0
P2RY13	0	0	0	0
P2RY12	0	0	0	0
IGSF10	0	0	1	0
MIR5186	0	0	0	0
LOC105374157	0	0	0	0
LINC02066	0	0	0	0
AADACL2	0	0	0	0
AADACL2-AS1	0	0	0	0
AADACP1	0	0	0	0
LOC105374160	0	0	0	0
AADAC	0	0	0	0
SUCNR1	0	0	0	0
LOC105374159	0	0	0	0
LOC107986047	0	0	0	0
LOC101928166	0	0	0	0
MBNL1	4354	3606	4983	4613
MBNL1-AS1	7	12	28	21
TMEM14EP	0	0	0	0
LOC105374163	0	0	0	0
LOC102724289	0	0	0	0
P2RY1	2	0	1	2
RAP2B	864	712	1991	1940
LOC105374164	0	0	2	2
LOC105374166	0	0	6	6
LINC02006	0	0	17	21
LINC02083	0	0	1	0
LINC02877	0	0	1	0
ARHGEF26-AS1	0	0	0	0
ARHGEF26	0	1	0	0
LOC105374167	0	0	0	0
DHX36	2082	1673	2422	2263
GPR149	0	0	0	0
LOC105374170	0	1	1	0
LOC105374171	0	0	0	0
MME	1	4	8	6
LINC01487	0	0	0	0
STRIT1	0	0	0	0
LOC105374172	0	0	0	0
PLCH1	42	28	61	58
PLCH1-AS2	0	0	0	0
C3orf33	91	87	106	105
SLC33A1	950	803	1199	1218
LOC105374174	0	0	0	2
GMPS	5891	4791	5619	5298
KCNAB1	18	15	25	24
KCNAB1-AS2	0	0	0	0
KCNAB1-AS1	0	0	0	0
SSR3	3018	2504	3996	3732
TIPARP-AS1	21	23	26	34
TIPARP	1860	1633	4329	4158
LOC107986148	5	3	7	13
LINC00886	109	115	269	273
PA2G4P4	20	22	10	15
LEKR1	19	15	47	61
LINC00880	7	12	41	39
LINC02029	2	4	12	12
LINC00881	1	1	6	4
CCNL1	2461	2074	2743	2639
LOC101928236	31	19	46	31
LOC105374179	0	0	2	8
VEPH1	139	131	403	362
PTX3	0	0	1	0
SLC66A1L	120	93	270	256
SHOX2	43	19	139	138
RSRC1	982	876	1068	1107
UC.134	0	0	0	0
MLF1-DT	0	0	1	0
MLF1	253	172	318	295
GFM1	3299	2715	3515	3335
LXN	1	0	2	0
RARRES1	1	2	2	2
LOC112268457	0	0	1	0
LOC100287290	5	6	2	5
MFSD1	1255	953	1876	1895
LOC105374181	0	1	1	0
IQCJ-SCHIP1	0	0	0	0
IQCJ	0	0	0	0
SCHIP1	4	3	15	14
MIR3919	0	0	0	0
IQCJ-SCHIP1-AS1	1	0	0	0
LOC101928351	0	0	1	1
IL12A-AS1	0	0	0	0
IL12A	5	8	0	5
LINC01100	0	0	0	0
LOC107986149	0	0	0	0
C3orf80	33	17	7	19
TRIM59-IFT80	21	30	58	61
IFT80	3	1	6	3
SMC4	13128	11072	11516	11157
MIR15B	0	0	0	0
MIR16-2	0	0	0	0
TRIM59	270	211	239	221
KPNA4	5184	4278	6088	5854
SCARNA7	0	0	1	1
ARL14	2	0	1	0
PPM1L	279	242	157	143
B3GALNT1	75	75	147	124
LOC105374186	0	0	0	0
NMD3	2856	2249	2133	2080
LOC105374187	4	5	7	1
LOC112268450	4	0	3	4
SPTSSB	210	207	22	30
LOC107986150	0	0	0	0
LINC02067	0	0	0	0
OTOL1	0	0	0	0
LOC107986048	0	0	0	0
LOC107986049	0	0	0	0
LINC01192	0	0	0	0
LOC105374188	0	0	0	0
LOC102724419	0	0	0	0
MIR1263	0	0	0	0
LOC105374189	0	0	0	0
LOC105374190	0	0	0	0
LOC105374191	0	0	0	0
LOC107986151	0	0	0	0
LINC01324	0	0	0	0
LOC107986050	0	0	0	0
SI	0	0	0	0
LOC105374192	0	0	0	0
LINC02023	1	0	0	0
SLITRK3	0	0	0	0
LINC01322	0	0	0	0
BCHE	1	0	0	0
LOC105374194	0	0	0	0
LOC105374193	0	0	0	0
LOC105374195	0	0	0	0
LOC105374196	0	0	0	0
ZBBX	0	0	0	0
LINC01327	0	0	0	0
SERPINI2	0	0	0	0
LOC105374197	0	0	0	0
WDR49	0	0	0	2
PDCD10	2073	1641	2374	2227
SERPINI1	111	81	27	24
LRRC77P	0	0	0	0
LOC107986152	0	0	0	1
GOLIM4	1620	1283	2371	2380
EGFEM1P	0	0	0	0
MIR551B	0	0	0	0
LOC105374200	0	0	0	0
LINC02082	0	0	0	0
LINC01997	0	0	0	0
LOC107986051	0	0	0	0
MECOM	33	25	28	14
LOC105374206	0	0	0	0
MECOM-AS1	0	0	0	0
TERC	10	8	5	2
ACTRT3	110	76	93	107
TRV-AAC1-1	0	0	0	0
MYNN	767	632	963	897
LRRC34	436	375	489	426
LRRIQ4	5	0	7	1
LRRC31	0	0	0	0
SAMD7	0	0	0	0
LOC100128164	6	5	9	9
SEC62	3303	2759	4199	3981
GPR160	95	80	217	197
PHC3	1287	1124	2373	2425
LOC105374209	0	0	0	0
PRKCI	2723	2274	3120	2940
SKIL	1516	1382	2795	2524
CLDN11	1785	1441	4943	4613
MIR6828	0	0	0	0
SLC7A14	0	0	1	0
SLC7A14-AS1	1	0	4	1
LOC105374211	0	0	0	0
RPL22L1	701	566	782	655
EIF5A2	5597	4686	5085	4600
SLC2A2	0	0	5	2
TNIK	1554	1219	2000	1961
LOC105374216	3	2	34	37
MIR569	0	0	0	0
LOC102724479	59	59	75	57
PLD1	256	197	458	401
TMEM212	0	0	0	0
TMEM212-AS1	0	0	0	0
LOC105374218	0	0	0	0
LOC105374217	0	0	0	0
FNDC3B	1223	1008	2218	2247
LOC107986153	15	10	7	5
GHSR	0	0	0	0
TNFSF10	43	31	109	108
LINC02068	0	0	0	0
NCEH1	1011	824	1644	1533
ECT2	5742	4473	6528	6021
LOC107986052	0	0	0	1
SPATA16	0	0	1	0
LOC105374221	0	0	0	0
LOC105374220	0	0	0	0
LOC105374224	0	0	0	0
NLGN1	5	0	0	1
LOC105374225	0	0	0	0
NLGN1-AS1	0	0	0	0
LOC105374226	0	0	0	0
NAALADL2	0	2	0	1
LOC107986027	0	0	0	0
NAALADL2-AS3	0	0	0	0
NAALADL2-AS2	0	0	0	0
MIR4789	0	0	0	0
NAALADL2-AS1	0	0	0	0
MIR7977	0	0	0	0
LOC105374230	1	0	0	1
LINC01208	0	0	0	0
LOC105374229	0	0	0	0
LINC01209	0	0	0	0
TBL1XR1	6448	5186	4686	4339
LOC107986053	0	0	0	0
LINC00501	0	0	0	1
LINC00578	0	0	0	1
LOC101928711	0	0	1	0
LINC02015	0	0	0	0
LOC107986154	0	0	1	0
LOC105374234	0	0	0	0
LOC107986155	0	0	0	0
LOC107986156	0	0	0	0
LOC105374235	0	0	0	0
LINC01014	0	0	0	0
KCNMB2-AS1	14	14	17	14
KCNMB2	0	2	5	5
ZMAT3	747	637	1202	1281
PIK3CA-DT	0	0	0	0
PIK3CA	1366	1152	2030	2006
KCNMB3	39	40	70	95
ZNF639	1160	853	1261	1162
MFN1	2313	1854	2812	2724
GNB4	8	6	10	8
LOC107986157	0	0	0	0
ACTL6A	3906	3143	3598	3489
MRPL47	1760	1357	1375	1269
NDUFB5	1628	1356	2079	1905
USP13	1360	1079	1207	1169
PEX5L	5	2	1	0
PEX5L-AS2	0	0	0	0
LINC02053	0	0	0	0
TTC14-DT	0	0	1	1
TTC14	752	568	1358	1197
CCDC39	45	42	110	69
LOC101928882	0	0	0	0
LOC105374240	0	0	0	0
FXR1	6005	4884	7907	7681
DNAJC19	509	464	539	498
SOX2-OT	0	1	0	1
LOC102724604	0	0	0	0
SOX2	99	78	47	52
LINC01206	0	0	0	0
LOC105374242	0	0	0	0
LOC105374243	0	0	0	0
LINC01994	0	0	0	0
LINC01995	0	0	0	0
LINC02031	0	0	0	0
LOC107986054	0	0	0	0
ATP11B-DT	2	1	2	4
ATP11B	2487	2058	4712	4413
DCUN1D1	1603	1291	2048	1781
LOC105374246	0	0	6	6
MCCC1	1301	1024	1867	1828
LOC105374247	0	0	0	0
LAMP3	149	142	232	246
MCF2L2	18	14	71	70
B3GNT5	332	280	588	544
LOC107986160	33	13	70	62
LOC107986161	1	2	4	7
LINC00888	225	182	471	444
SNORA63D	1	1	0	1
SNORA63E	3	3	15	6
KLHL6	0	0	0	2
KLHL6-AS1	0	0	0	0
LOC105374248	1	0	0	1
LOC107986162	7	6	8	7
KLHL24	1107	885	2745	2556
YEATS2	2637	2094	5014	5199
YEATS2-AS1	6	6	21	19
MAP6D1	155	123	217	248
PARL	1448	1097	2217	2133
MIR4448	0	0	0	0
ABCC5	1561	1260	1702	1739
ABCC5-AS1	0	0	6	2
HTR3D	0	0	0	0
HTR3C	0	0	0	2
EIF2B5-DT	10	12	27	33
HTR3E-AS1	0	0	0	0
HTR3E	0	0	1	1
EIF2B5	2520	2039	2492	2607
DVL3	2773	2160	4873	5057
AP2M1	8437	6414	11270	11832
ABCF3	1322	988	1945	2048
VWA5B2	35	25	60	85
MIR1224	0	0	0	0
ALG3	1902	1538	1496	1637
EEF1AKMT4-ECE2	0	0	0	0
EEF1AKMT4	155	96	95	100
CAMK2N2	81	75	178	169
ECE2	0	0	0	0
PSMD2	17023	12988	24493	25304
EIF4G1	20948	16477	22511	23092
SNORD66	0	0	0	0
FAM131A	514	424	724	665
CLCN2	756	528	645	686
POLR2H	2131	1645	2685	2673
THPO	3	1	11	12
CHRD	53	42	111	139
LINC02054	0	1	0	0
LINC01839	0	0	0	1
LINC01840	0	0	0	0
EPHB3	177	133	749	812
MAGEF1	1709	1432	2895	2927
LOC107986163	5	4	42	34
LINC02069	0	0	0	1
LOC105374253	0	0	0	0
VPS8	1139	900	1803	1810
C3orf70	52	38	95	109
EHHADH-AS1	0	0	0	0
EHHADH	449	361	816	839
MIR5588	0	0	0	0
MAP3K13	777	663	1008	936
LOC101929018	2	1	2	3
TMEM41A	776	627	970	959
LOC105374254	3	5	10	5
LIPH	4	4	13	9
LOC107986055	0	0	0	0
SENP2	1849	1486	2913	2847
IGF2BP2	2805	2248	3527	3727
IGF2BP2-AS1	0	1	0	1
MIR548AQ	0	0	0	0
TRA2B	6356	5157	5887	5746
NMRAL2P	45	31	110	119
ETV5	5257	4211	6250	6428
LOC105374257	1	2	3	4
DGKG	849	672	1481	1487
LINC02020	0	0	0	0
LINC02052	0	0	0	0
LINC02051	0	0	0	0
CRYGS	10	7	13	16
TBCCD1	279	237	434	426
DNAJB11	2221	1769	2583	2606
AHSG	0	0	2	1
FETUB	1	1	0	0
HRG-AS1	0	0	1	2
HRG	4	3	4	5
KNG1	1	0	0	2
LOC105374259	0	0	0	0
EIF4A2	5064	4123	6001	5879
SNORD2	42	31	57	31
SNORA63B	16	24	22	19
MIR1248	0	0	0	0
SNORA81	13	9	8	9
SNORA63	56	33	37	37
SNORA4	24	16	29	27
RFC4	2046	1643	1669	1554
LINC02043	25	19	19	13
ADIPOQ	0	0	0	0
ADIPOQ-AS1	0	0	0	0
ST6GAL1	854	671	645	653
RPL39L	0	0	1	0
LOC101929106	0	0	0	0
RTP1	0	0	0	0
MASP1	0	0	1	1
LOC105374260	0	0	0	0
LOC101929130	0	0	0	0
RTP4	4	2	12	24
LINC02041	3	3	10	7
LOC105374262	0	0	0	0
SST	0	0	0	0
RTP2	0	0	0	0
LOC100131635	0	0	0	0
BCL6	85	68	267	271
LOC122526776	3	1	2	0
LOC105374263	2	0	5	2
LOC105374264	17	22	63	55
LOC105374265	0	0	0	0
LINC01991	0	0	0	0
LOC107986166	0	0	0	0
LPP-AS2	9	5	26	13
LPP	724	649	1228	1170
FLJ42393	0	0	0	0
LPP-AS1	0	0	0	0
MIR28	0	0	0	0
TPRG1-AS1	0	0	4	0
LOC107986168	0	0	0	0
LOC107986167	0	0	0	0
TPRG1	0	0	6	6
TPRG1-AS2	0	0	0	0
LOC105374270	0	0	0	0
LOC107986169	0	0	0	0
TP63	0	3	1	0
MIR944	0	0	0	0
P3H2	46	30	86	101
P3H2-AS1	0	0	0	0
CLDN16	2	0	2	1
CLDN1	220	209	444	446
TMEM207	0	0	0	0
IL1RAP	31	40	101	113
LINC02013	0	0	0	0
GMNC	0	0	0	0
SNAR-I	0	0	0	0
LOC107986171	0	0	0	0
OSTN	0	0	0	0
OSTN-AS1	0	0	0	0
UTS2B	0	0	2	0
CCDC50	1614	1396	2455	2497
LINCR-0002	0	0	0	0
PYDC2	0	0	0	0
LOC105374275	0	0	0	0
LOC105374276	0	0	0	0
LOC105374277	0	0	0	1
FGF12	1	0	1	3
FGF12-AS1	0	0	0	0
FGF12-AS2	0	0	0	0
LOC107986028	0	0	0	0
LOC107986056	0	0	0	2
MB21D2	207	164	387	387
LOC105374280	0	0	0	1
PLAAT1	8	3	97	68
MGC2889	0	0	5	4
ATP13A5	0	0	0	0
ATP13A5-AS1	0	0	0	0
ATP13A4	2	0	2	4
ATP13A4-AS1	0	0	0	0
OPA1	3846	3108	4989	4758
OPA1-AS1	0	1	3	1
LOC102724808	8	1	1	6
LOC105374282	0	0	0	0
LOC105374283	0	0	0	0
LOC105374284	0	0	1	0
LINC02038	0	0	1	0
LOC105374287	15	21	91	90
LOC105374286	0	0	4	5
LINC02026	0	0	1	0
DPPA2P3	0	0	1	0
LINC02028	2	4	5	7
LOC102724877	0	0	0	2
HES1	658	519	954	1079
LOC107986172	0	0	0	0
LINC02036	1	1	3	4
LINC02037	3	1	2	0
LINC02048	3	2	17	14
LINC00887	1	3	4	7
CPN2	0	0	0	0
LRRC15	1	0	3	7
GP5	1	0	4	1
ATP13A3	7993	6598	12941	12313
ATP13A3-DT	2	2	9	14
TMEM44-AS1	63	49	136	134
TMEM44	482	373	753	747
LOC105374291	0	3	5	3
LSG1	2139	1686	2563	2660
FAM43A	718	573	1613	1714
LOC105374292	6	3	16	13
LINC01968	4	3	12	14
LINC01972	0	0	0	0
LOC107986174	22	18	33	42
LOC107986173	23	18	42	33
LOC105374294	0	0	2	1
LOC105374295	6	3	14	8
XXYLT1	597	431	1012	1101
XXYLT1-AS1	7	5	12	17
MIR3137	0	0	0	0
XXYLT1-AS2	0	0	1	0
LOC105374296	1	2	2	4
ACAP2	1844	1569	3147	2838
PPP1R2	6041	5011	5920	5662
APOD	4	1	15	16
LOC107986029	0	0	0	0
LOC105374298	0	2	0	0
LOC105374297	0	0	0	0
